"Schulnummer","Latitude","Longitude","Gemeinden.Kennziffer","Schulname","Grundschulen","PLZ","Ort_parsed","Strasse"
32014,50.8803500099482,11.624599998642,16053000,"Staatliches regionales Förderzentrum Jena",1,"D-07747","Jena","Rudolf-Breitscheid-Straße 4"
15350,51.4254900074683,10.9298800355428,16062064,"Staatliche Grundschule ""Geschwister Scholl"" Heringen",1,"D-99765","Heringen","Rudolf-Breitscheid-Straße 5"
25019,51.4254900074683,10.9298800355428,16062064,"Staatliche Regelschule Heringen",0,"D-99765","Heringen","Rudolf-Breitscheid-Straße 5"
60959,50.8796600116788,11.6310999969165,16053000,"Staatliche Berufsbildende Schule für Gesundheit und Soziales Jena",0,"D-07747","Jena","Rudolf-Breitscheid-Straße 56-58"
20645,50.8130699819015,10.2326600021835,16063003,"Erste Stadtschule Staatliche Regelschule Bad Salzungen",0,"D-36433","Bad Salzungen","Rudolf-Breitscheid-Straße 9"
24862,51.5006900120064,10.7980399908489,16062041,"Staatliche Regelschule ""Am Förstemannweg"" Nordhausen",0,"D-99734","Nordhausen","Rudolf-Breitscheidt-Straße 7"
70108,50.8339000171208,10.9578299945955,16070004,"Marienstift Arnstadt Emil-Petri-Schule Integratives Förderzentrum",1,"D-99310","Arnstadt","Rudolstädter Str. 30"
75713,50.8339000171208,10.9578299945955,16070004,"Marienstift Arnstadt, Emil-Petri-Schule, Montessori-Gemeinschaftsschule",1,"D-99310","Arnstadt","Rudolstädter Straße 30"
26837,50.8470599822919,12.0609400011883,16052000,"Die Vierte - Staatliche Regelschule Gera",0,"D-07549","Gera","Rudolstädter Straße 51"
60946,50.8836800143512,11.5911500023637,16053000,"Staatliches Berufsbildendes Schulzentrum Jena-Göschwitz",0,"D-07745","Jena","Rudolstädter Straße 95"
14489,50.5076799916605,11.5795600095669,16075134,"Lichtblicke Staatliche Grundschule Ruppersdorf",1,"D-07368","Remptendorf","Ruppersdorf 96"
