"","address","latitude","longitude","Year","Month","Day","Time","...6","Board","Type"
"79","Wandersleben",50.8973100000001,10.8493500000001,"2018","06","21","09.00-12.00","Grundschule Wandersleben","Gotha","Tage des Sports und der Gesundheitsförderung "
"80","Weimar",50.97695,11.3278700000001,"2023","04","22","10:00 - 16:00 Uhr","Atrium","SSB Weimar e.V.","Tage des Sports und der Gesundheitsförderung "
"81","Weimar",50.97695,11.3278700000001,"2022","06","11","11-17 Uhr","Atrium","SSB Weimar e.V.","Tage des Sports und der Gesundheitsförderung "
"82","Weimar",50.97695,11.3278700000001,"2019","11","17","11-17 Uhr","Atrium","SSB Weimar e.V.","Tage des Sports und der Gesundheitsförderung "
"83","Weißensee/Thüringen",51.1978,11.06636,"2023","06","17","10:00 - 14:00 Uhr","Am Fischhof","KSB Sömmerda","Tage des Sports und der Gesundheitsförderung "
"84","Wernshausen",50.7243,10.3513600000001,"2022","06","15","15-18 Uhr","Grundschule","KSB Schmalkalden-M. e.V.","Tage des Sports und der Gesundheitsförderung "
"85","Wernshausen",50.7243,10.3513600000001,"2023","06","24","10:00-14:00 Uhr","Turnhalle Puschkinallee","KSB Schmalkalden-Meiningen","Tage des Sports und der Gesundheitsförderung "
"86","Wipperdorf",51.45604,10.64217,"2018","06","23","10:00-14:00","Sportplatz Wipperdorf","Nordhausen","Tage des Sports und der Gesundheitsförderung "
"87","Wutha-Farnroda",50.94109,10.3915700000001,"2018","05","05","10.00-13.00","Hörselberghalle","Eisenach","Tage des Sports und der Gesundheitsförderung "
"88","Zella-Mehlis",50.65677,10.66348,"2023","06","01","12:00-16:00 Uhr","Friedrich-Schiller-Schule","KSB Schmalkalden-Meiningen","Tage des Sports und der Gesundheitsförderung "
"89","Zeulenroda",50.6492700000001,11.98042,"2019","05","18","10-14 Uhr","Friedrich-Riemann-Grundschule","KSB Greiz e.V.","Tage des Sports und der Gesundheitsförderung "
"90","Zeulenroda",50.6492700000001,11.98042,"2022","07","01","15-18 Uhr","Friedrich-Riemann-Grundschule","KSB Greiz e.V.","Tage des Sports und der Gesundheitsförderung "
"91","Zottelstedt",51.0547000000001,11.49447,"2018","06","20","08:30-12:00 ","Sportplatz","Weimarer Land","Tage des Sports und der Gesundheitsförderung "
