"Name","School","lat","lon","PLZ","Location","School.Type","Board","Board.Type","District","Admin","AGS","AGS.Name","Großstadtregionaler.Einzugsbereich","Stadt.und.Gemeindetyp","BBSR.Mittelbereiche","RegioStar2","RegioStar5","RegioStar7","RegioStar17","Raumtyp","Wachsen.Schrumpfen"
"Staatliche Grundschule Großrudestedt",11919,51.0930999792614,11.0980699635568,99195,"Großrudestedt","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068021,"Großrudestedt","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Heinz-Sielmann-Grundschule Haßleben Staatliche Grundschule",12002,51.1079600039441,10.9960699970816,99189,"Haßleben","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068025,"Haßleben","engerer Pendlerverflechtungsbereich","Landgemeinde","Erfurt","Stadtregion","Kleinstädtischer, dörflicher Raum","Stadtregion - kleinstädtischer, dörflicher Raum","Regiopolitane Stadtregion - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Wippertus-Schule Kölleda Staatliche Grundschule",16791,51.1905600136102,11.2480799626783,99625,"Kölleda","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068034,"Kölleda, Stadt","weiterer Pendlerverflechtungsbereich","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"IGEL Grundschule",76194,51.2334300117723,11.2622799963049,99625,"Kölleda","Grundschule","Fussel e.V.","in freier Trägerschaft","Sömmerda","Staatliches Schulamt Mittelthüringen",16068034,"Kölleda, Stadt","weiterer Pendlerverflechtungsbereich","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Staatliche Grundschule Rastenberg",16834,51.1749400017666,11.4181500353935,99636,"Rastenberg","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068042,"Rastenberg, Stadt","weiterer Pendlerverflechtungsbereich","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Finneck-Schule ""Maria Martha"" Staatlich anerkannte Förderschule, Bildungsgang zur individuellen Lebensbewältigung",70591,51.174310017924,11.4226699766809,99636,"Rastenberg","Förderschule","Stiftung Finneck","in freier Trägerschaft","Sömmerda","Staatliches Schulamt Mittelthüringen",16068042,"Rastenberg, Stadt","weiterer Pendlerverflechtungsbereich","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Finneck - Gemeinschaftsschule Maria Martha",75048,51.174310017924,11.4226699766809,99636,"Rastenberg","Thüringer Gemeinschaftsschule","Stiftung Finneck","in freier Trägerschaft","Sömmerda","Staatliches Schulamt Mittelthüringen",16068042,"Rastenberg, Stadt","weiterer Pendlerverflechtungsbereich","Kleine Kleinstadt","Sömmerda","Ländliche Region","Kleinstädtischer, dörflicher Raum","Ländliche Region - kleinstädtischer, dörflicher Raum","Stadtregionsnahe ländliche Region - Kleinstädtischer, dörflicher Raum","peripher","schrumpfend"
"Finneck-Förderschule Sömmerda ""Maria Martha"", Freie Schule der Stiftung Finneck",70605,51.1631200095467,11.1154700401777,99610,"Sömmerda","Förderschule","Stiftung Finneck","in freier Trägerschaft","Sömmerda","Staatliches Schulamt Mittelthüringen",16068051,"Sömmerda, Stadt","weiterer Pendlerverflechtungsbereich","Größere Kleinstadt","Sömmerda","Stadtregion","Städtischer Raum","Stadtregion - Mittelstädte, städtischer Raum","Regiopolitane Stadtregion - Verstädterter Raum","peripher","schrumpfend"
"Staatliche Gemeinschaftsschule ""Albert Einstein"" Sömmerda",45035,51.1554799886213,11.1338600195636,99610,"Sömmerda","Thüringer Gemeinschaftsschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068051,"Sömmerda, Stadt","weiterer Pendlerverflechtungsbereich","Größere Kleinstadt","Sömmerda","Stadtregion","Städtischer Raum","Stadtregion - Mittelstädte, städtischer Raum","Regiopolitane Stadtregion - Verstädterter Raum","peripher","schrumpfend"
"Lindenschule Sömmerda Staatliche Grundschule",16894,51.154359998719,11.1180599644399,99610,"Sömmerda","Grundschule","Landratsamt Sömmerda","staatlich","Sömmerda","Staatliches Schulamt Mittelthüringen",16068051,"Sömmerda, Stadt","weiterer Pendlerverflechtungsbereich","Größere Kleinstadt","Sömmerda","Stadtregion","Städtischer Raum","Stadtregion - Mittelstädte, städtischer Raum","Regiopolitane Stadtregion - Verstädterter Raum","peripher","schrumpfend"
